Crop,Disease,Symptoms,Solution
Sugarcane,Smut,severely infected cane failing to form millable stalks,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Rice,Bacterial Blight,milky bacterial ooze visible on cut leaf surface,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Cotton,Root Rot,sudden collapse of healthy looking cotton plants,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Rice,Bacterial Blight,lesions with wavy margins on rice leaf blade,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Cotton,Leaf Curl Virus,leaf margins curling upward giving cupped appearance,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
General,Healthy,leaves turgid and green with no curling symptoms,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Maize,Rust,yield reduction due to severe rust infection,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Sugarcane,Smut,infected buds producing whip instead of normal shoot,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Wheat,Powdery Mildew,white blister like patches on leaf surface,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Maize,Leaf Blight,field showing patches of blighted maize plants,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Rice,Rice Blast,diamond shaped lesions with grey center on leaves,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Sugarcane,Smut,black whip like structure emerging from growing point,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
General,Healthy,crop appears healthy with strong stem and green leaves,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Cotton,Leaf Curl Virus,leaves curling downward with yellow vein network,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
General,Healthy,leaf surface smooth and green without any lesions,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Sugarcane,Red Rot,internode showing red rot with characteristic white patches,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Wheat,Leaf Rust,yellowish orange raised spots on wheat leaves,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Rice,Bacterial Blight,plant stunting with severely blighted leaves,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Cotton,Leaf Curl Virus,yellow network pattern visible on curled leaf,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Maize,Leaf Blight,elongated grayish lesions visible on both leaf surfaces,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Rice,Rice Blast,grey sporulating spots visible in humid morning,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Rice,Rice Blast,leaf collar infection causing leaf drooping,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Maize,Rust,reddish brown spore masses on leaf surface,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
General,Healthy,field showing uniform green healthy crop growth,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Rice,Bacterial Blight,bacterial streaks visible when leaf held to light,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Rice,Bacterial Blight,leaves rolling and drying from margins inward,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Cotton,Root Rot,stem base showing dark brown discoloration,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
